,play_type,posteam,down,ydstogo,qtr,week,yardline_100,drive_inside20,pass_attempt,complete_pass,passer,passing_yards,receiver,receiving_yards,first_down,touchdown
1,pass,TEN,2.0,13,1,1,78,0.0,1,1,R.Tannehill,3.0,D.Henry,3.0,0,0
2,pass,TEN,3.0,10,1,1,75,0.0,1,0,R.Tannehill,,C.Rogers,,0,0
3,pass,ARI,1.0,10,1,1,61,1.0,1,1,K.Murray,38.0,D.Hopkins,38.0,1,0
5,pass,ARI,1.0,18,1,1,31,1.0,1,1,K.Murray,1.0,C.Edmonds,1.0,0,0
6,pass,ARI,2.0,17,1,1,30,1.0,1,1,K.Murray,21.0,A.Green,21.0,1,0
8,pass,ARI,2.0,24,1,1,24,1.0,1,1,K.Murray,8.0,C.Kirk,8.0,0,0
9,pass,ARI,3.0,16,1,1,16,1.0,1,0,K.Murray,,R.Moore,,0,0
11,pass,TEN,2.0,11,1,1,81,0.0,1,0,R.Tannehill,,,,0,0
12,pass,ARI,1.0,5,1,1,5,1.0,1,0,K.Murray,,A.Green,,0,0
13,pass,ARI,2.0,5,1,1,5,1.0,1,0,K.Murray,,D.Harris,,0,0
14,pass,ARI,3.0,5,1,1,5,1.0,1,1,K.Murray,5.0,D.Hopkins,5.0,1,1
17,pass,TEN,3.0,16,1,1,81,0.0,1,0,R.Tannehill,,J.McNichols,,0,0
19,pass,ARI,2.0,6,1,1,61,0.0,1,1,K.Murray,3.0,D.Hopkins,3.0,0,0
20,pass,ARI,3.0,3,1,1,58,0.0,1,0,K.Murray,,A.Green,,0,0
21,pass,TEN,1.0,10,1,1,80,0.0,1,0,R.Tannehill,,,,0,0
22,pass,TEN,2.0,16,1,1,86,0.0,1,1,R.Tannehill,4.0,C.Rogers,4.0,0,0
23,pass,TEN,3.0,12,1,1,82,0.0,1,1,R.Tannehill,8.0,J.McNichols,8.0,0,0
24,pass,TEN,4.0,4,1,1,74,0.0,1,1,M.Farley,6.0,A.Hooker,6.0,1,0
27,pass,TEN,3.0,9,1,1,67,0.0,1,0,R.Tannehill,,,,0,0
28,pass,ARI,1.0,10,1,1,70,1.0,1,0,K.Murray,,,,0,0
29,pass,ARI,2.0,12,2,1,72,1.0,1,1,K.Murray,10.0,D.Hopkins,10.0,0,0
32,pass,ARI,1.0,10,2,1,32,1.0,1,1,K.Murray,3.0,C.Kirk,3.0,0,0
36,pass,ARI,2.0,5,2,1,17,1.0,1,1,K.Murray,17.0,D.Hopkins,17.0,1,1
37,pass,TEN,1.0,10,2,1,75,1.0,1,0,R.Tannehill,,A.Brown,,0,0
38,pass,TEN,2.0,10,2,1,75,1.0,1,1,R.Tannehill,12.0,A.Brown,12.0,1,0
40,pass,TEN,2.0,8,2,1,61,1.0,1,1,R.Tannehill,11.0,A.Firkser,11.0,1,0
41,pass,TEN,1.0,10,2,1,50,1.0,1,1,R.Tannehill,39.0,C.Rogers,39.0,1,0
42,pass,TEN,1.0,10,2,1,11,1.0,1,0,R.Tannehill,,J.Jones,,0,0
43,pass,TEN,2.0,10,2,1,11,1.0,1,0,R.Tannehill,,G.Swaim,,0,0
44,pass,TEN,3.0,10,2,1,11,1.0,1,1,R.Tannehill,10.0,N.Westbrook-Ikhine,10.0,1,0
48,pass,ARI,1.0,10,2,1,75,1.0,1,0,K.Murray,,M.Williams,,0,0
49,pass,ARI,2.0,10,2,1,75,1.0,1,0,K.Murray,,A.Green,,0,0
50,pass,ARI,3.0,10,2,1,75,1.0,1,1,K.Murray,18.0,R.Moore,18.0,1,0
54,pass,ARI,2.0,10,2,1,45,1.0,1,1,K.Murray,4.0,A.Green,4.0,0,0
55,pass,ARI,3.0,6,2,1,41,1.0,1,1,K.Murray,22.0,C.Kirk,22.0,1,0
57,pass,ARI,2.0,10,2,1,19,1.0,1,1,K.Murray,3.0,C.Edmonds,3.0,1,0
60,pass,TEN,1.0,10,2,1,75,0.0,1,1,R.Tannehill,9.0,J.Jones,9.0,0,0
62,pass,TEN,1.0,10,2,1,50,0.0,1,1,R.Tannehill,9.0,J.McNichols,9.0,0,0
63,pass,TEN,2.0,1,2,1,41,0.0,1,1,R.Tannehill,4.0,A.Firkser,4.0,1,0
64,pass,TEN,1.0,10,2,1,37,0.0,1,1,R.Tannehill,4.0,A.Firkser,4.0,0,0
65,pass,TEN,2.0,1,2,1,28,0.0,1,0,R.Tannehill,,J.Jones,,0,0
66,pass,TEN,3.0,1,2,1,28,0.0,1,0,R.Tannehill,,A.Brown,,0,0
67,pass,ARI,1.0,10,2,1,64,0.0,1,1,K.Murray,12.0,R.Moore,12.0,1,0
68,pass,ARI,1.0,10,2,1,52,0.0,1,0,K.Murray,,D.Hopkins,,0,0
69,pass,ARI,2.0,10,2,1,52,0.0,1,1,K.Murray,36.0,C.Edmonds,36.0,1,0
71,pass,ARI,2.0,6,3,1,80,0.0,1,1,K.Murray,3.0,C.Edmonds,3.0,0,0
72,pass,ARI,3.0,3,3,1,77,0.0,1,0,K.Murray,,D.Harris,,0,0
73,pass,TEN,1.0,10,3,1,32,1.0,1,1,R.Tannehill,19.0,A.Brown,19.0,1,0
74,pass,TEN,1.0,10,3,1,13,1.0,1,1,R.Tannehill,13.0,A.Brown,13.0,1,1
75,pass,ARI,1.0,10,3,1,75,0.0,1,1,K.Murray,29.0,R.Moore,29.0,1,0
77,pass,ARI,2.0,7,3,1,43,0.0,1,1,K.Murray,10.0,D.Hopkins,10.0,1,0
79,pass,ARI,2.0,3,3,1,26,0.0,1,0,K.Murray,,D.Harris,,0,0
80,pass,ARI,3.0,3,3,1,26,0.0,1,1,K.Murray,26.0,C.Kirk,26.0,1,1
81,pass,TEN,1.0,15,3,1,80,0.0,1,1,R.Tannehill,9.0,C.Rogers,9.0,0,0
83,pass,TEN,3.0,5,3,1,70,0.0,1,0,R.Tannehill,,J.Jones,,0,0
84,pass,ARI,1.0,10,3,1,53,0.0,1,0,K.Murray,,D.Hopkins,,0,0
85,pass,ARI,2.0,10,3,1,53,0.0,1,0,K.Murray,,A.Green,,0,0
86,pass,ARI,3.0,10,3,1,53,0.0,1,0,K.Murray,,,,0,0
92,pass,TEN,3.0,8,3,1,57,0.0,1,0,R.Tannehill,,,,0,0
96,pass,ARI,3.0,4,3,1,11,1.0,1,1,K.Murray,11.0,C.Kirk,11.0,1,1
97,pass,TEN,1.0,10,3,1,75,0.0,1,0,R.Tannehill,,C.Rogers,,0,0
99,pass,TEN,3.0,6,3,1,71,0.0,1,1,R.Tannehill,10.0,J.Jones,10.0,1,0
