,posteam,down,ydstogo,qtr,week,yardline_100,drive_inside20,play_type,rush_attempt,rusher,rushing_yards,rush_touchdown,pass_attempt,complete_pass,passer,passing_yards,pass_touchdown,receiver,receiving_yards,first_down,touchdown
0,TEN,1.0,10,1,1,75,0.0,run,1,D.Henry,-3.0,0,0,0,,,0,,,0,0
1,TEN,2.0,13,1,1,78,0.0,pass,0,,,0,1,1,R.Tannehill,3.0,0,D.Henry,3.0,0,0
2,TEN,3.0,10,1,1,75,0.0,pass,0,,,0,1,0,R.Tannehill,,0,C.Rogers,,0,0
3,ARI,1.0,10,1,1,61,1.0,pass,0,,,0,1,1,K.Murray,38.0,0,D.Hopkins,38.0,1,0
4,ARI,1.0,10,1,1,23,1.0,run,1,K.Murray,2.0,0,0,0,,,0,,,0,0
5,ARI,1.0,18,1,1,31,1.0,pass,0,,,0,1,1,K.Murray,1.0,0,C.Edmonds,1.0,0,0
6,ARI,2.0,17,1,1,30,1.0,pass,0,,,0,1,1,K.Murray,21.0,0,A.Green,21.0,1,0
7,ARI,1.0,9,1,1,9,1.0,run,1,C.Edmonds,0.0,0,0,0,,,0,,,0,0
8,ARI,2.0,24,1,1,24,1.0,pass,0,,,0,1,1,K.Murray,8.0,0,C.Kirk,8.0,0,0
9,ARI,3.0,16,1,1,16,1.0,pass,0,,,0,1,0,K.Murray,,0,R.Moore,,0,0
10,TEN,1.0,10,1,1,80,0.0,run,1,D.Henry,-1.0,0,0,0,,,0,,,0,0
11,TEN,2.0,11,1,1,81,0.0,pass,0,,,0,1,0,R.Tannehill,,0,,,0,0
12,ARI,1.0,5,1,1,5,1.0,pass,0,,,0,1,0,K.Murray,,0,A.Green,,0,0
13,ARI,2.0,5,1,1,5,1.0,pass,0,,,0,1,0,K.Murray,,0,D.Harris,,0,0
14,ARI,3.0,5,1,1,5,1.0,pass,0,,,0,1,1,K.Murray,5.0,1,D.Hopkins,5.0,1,1
15,TEN,1.0,10,1,1,75,0.0,run,1,D.Henry,2.0,0,0,0,,,0,,,0,0
16,TEN,2.0,8,1,1,73,0.0,run,1,D.Henry,7.0,0,0,0,,,0,,,0,0
17,TEN,3.0,16,1,1,81,0.0,pass,0,,,0,1,0,R.Tannehill,,0,J.McNichols,,0,0
18,ARI,1.0,10,1,1,65,0.0,run,1,C.Edmonds,4.0,0,0,0,,,0,,,0,0
19,ARI,2.0,6,1,1,61,0.0,pass,0,,,0,1,1,K.Murray,3.0,0,D.Hopkins,3.0,0,0
20,ARI,3.0,3,1,1,58,0.0,pass,0,,,0,1,0,K.Murray,,0,A.Green,,0,0
21,TEN,1.0,10,1,1,80,0.0,pass,0,,,0,1,0,R.Tannehill,,0,,,0,0
22,TEN,2.0,16,1,1,86,0.0,pass,0,,,0,1,1,R.Tannehill,4.0,0,C.Rogers,4.0,0,0
23,TEN,3.0,12,1,1,82,0.0,pass,0,,,0,1,1,R.Tannehill,8.0,0,J.McNichols,8.0,0,0
24,TEN,4.0,4,1,1,74,0.0,pass,0,,,0,1,1,M.Farley,6.0,0,A.Hooker,6.0,1,0
25,TEN,1.0,10,1,1,68,0.0,run,1,D.Henry,-1.0,0,0,0,,,0,,,0,0
26,TEN,2.0,11,1,1,69,0.0,run,1,D.Henry,2.0,0,0,0,,,0,,,0,0
27,TEN,3.0,9,1,1,67,0.0,pass,0,,,0,1,0,R.Tannehill,,0,,,0,0
28,ARI,1.0,10,1,1,70,1.0,pass,0,,,0,1,0,K.Murray,,0,,,0,0
29,ARI,2.0,12,2,1,72,1.0,pass,0,,,0,1,1,K.Murray,10.0,0,D.Hopkins,10.0,0,0
30,ARI,1.0,10,2,1,45,1.0,run,1,J.Conner,3.0,0,0,0,,,0,,,0,0
31,ARI,2.0,7,2,1,42,1.0,run,1,C.Edmonds,10.0,0,0,0,,,0,,,1,0
32,ARI,1.0,10,2,1,32,1.0,pass,0,,,0,1,1,K.Murray,3.0,0,C.Kirk,3.0,0,0
33,ARI,2.0,7,2,1,29,1.0,run,1,J.Conner,7.0,0,0,0,,,0,,,1,0
34,ARI,1.0,10,2,1,22,1.0,run,1,K.Murray,7.0,0,0,0,,,0,,,0,0
35,ARI,1.0,13,2,1,25,1.0,run,1,C.Edmonds,8.0,0,0,0,,,0,,,0,0
36,ARI,2.0,5,2,1,17,1.0,pass,0,,,0,1,1,K.Murray,17.0,1,D.Hopkins,17.0,1,1
37,TEN,1.0,10,2,1,75,1.0,pass,0,,,0,1,0,R.Tannehill,,0,A.Brown,,0,0
38,TEN,2.0,10,2,1,75,1.0,pass,0,,,0,1,1,R.Tannehill,12.0,0,A.Brown,12.0,1,0
39,TEN,1.0,10,2,1,63,1.0,run,1,D.Henry,2.0,0,0,0,,,0,,,0,0
40,TEN,2.0,8,2,1,61,1.0,pass,0,,,0,1,1,R.Tannehill,11.0,0,A.Firkser,11.0,1,0
41,TEN,1.0,10,2,1,50,1.0,pass,0,,,0,1,1,R.Tannehill,39.0,0,C.Rogers,39.0,1,0
42,TEN,1.0,10,2,1,11,1.0,pass,0,,,0,1,0,R.Tannehill,,0,J.Jones,,0,0
43,TEN,2.0,10,2,1,11,1.0,pass,0,,,0,1,0,R.Tannehill,,0,G.Swaim,,0,0
44,TEN,3.0,10,2,1,11,1.0,pass,0,,,0,1,1,R.Tannehill,10.0,0,N.Westbrook-Ikhine,10.0,1,0
45,TEN,1.0,1,2,1,1,1.0,run,1,D.Henry,0.0,0,0,0,,,0,,,0,0
46,TEN,2.0,1,2,1,1,1.0,run,1,D.Henry,0.0,0,0,0,,,0,,,0,0
47,TEN,3.0,1,2,1,1,1.0,run,1,,1.0,1,0,0,R.Tannehill,,0,,,1,1
48,ARI,1.0,10,2,1,75,1.0,pass,0,,,0,1,0,K.Murray,,0,M.Williams,,0,0
49,ARI,2.0,10,2,1,75,1.0,pass,0,,,0,1,0,K.Murray,,0,A.Green,,0,0
50,ARI,3.0,10,2,1,75,1.0,pass,0,,,0,1,1,K.Murray,18.0,0,R.Moore,18.0,1,0
51,ARI,1.0,10,2,1,57,1.0,run,1,C.Edmonds,4.0,0,0,0,,,0,,,0,0
52,ARI,2.0,6,2,1,53,1.0,run,1,,8.0,0,0,0,K.Murray,,0,,,1,0
53,ARI,1.0,10,2,1,45,1.0,run,1,J.Conner,0.0,0,0,0,,,0,,,0,0
54,ARI,2.0,10,2,1,45,1.0,pass,0,,,0,1,1,K.Murray,4.0,0,A.Green,4.0,0,0
55,ARI,3.0,6,2,1,41,1.0,pass,0,,,0,1,1,K.Murray,22.0,0,C.Kirk,22.0,1,0
56,ARI,1.0,10,2,1,19,1.0,run,1,J.Conner,0.0,0,0,0,,,0,,,0,0
