,play_type,posteam,down,ydstogo,qtr,week,yardline_100,drive_inside20,rush_attempt,rusher,rushing_yards,first_down,rush_touchdown
0,run,TEN,1.0,10,1,1,75,0.0,1,D.Henry,-3.0,0,0
4,run,ARI,1.0,10,1,1,23,1.0,1,K.Murray,2.0,0,0
7,run,ARI,1.0,9,1,1,9,1.0,1,C.Edmonds,0.0,0,0
10,run,TEN,1.0,10,1,1,80,0.0,1,D.Henry,-1.0,0,0
15,run,TEN,1.0,10,1,1,75,0.0,1,D.Henry,2.0,0,0
16,run,TEN,2.0,8,1,1,73,0.0,1,D.Henry,7.0,0,0
18,run,ARI,1.0,10,1,1,65,0.0,1,C.Edmonds,4.0,0,0
25,run,TEN,1.0,10,1,1,68,0.0,1,D.Henry,-1.0,0,0
26,run,TEN,2.0,11,1,1,69,0.0,1,D.Henry,2.0,0,0
30,run,ARI,1.0,10,2,1,45,1.0,1,J.Conner,3.0,0,0
31,run,ARI,2.0,7,2,1,42,1.0,1,C.Edmonds,10.0,1,0
33,run,ARI,2.0,7,2,1,29,1.0,1,J.Conner,7.0,1,0
34,run,ARI,1.0,10,2,1,22,1.0,1,K.Murray,7.0,0,0
35,run,ARI,1.0,13,2,1,25,1.0,1,C.Edmonds,8.0,0,0
39,run,TEN,1.0,10,2,1,63,1.0,1,D.Henry,2.0,0,0
45,run,TEN,1.0,1,2,1,1,1.0,1,D.Henry,0.0,0,0
46,run,TEN,2.0,1,2,1,1,1.0,1,D.Henry,0.0,0,0
47,run,TEN,3.0,1,2,1,1,1.0,1,,1.0,1,1
51,run,ARI,1.0,10,2,1,57,1.0,1,C.Edmonds,4.0,0,0
52,run,ARI,2.0,6,2,1,53,1.0,1,,8.0,1,0
53,run,ARI,1.0,10,2,1,45,1.0,1,J.Conner,0.0,0,0
56,run,ARI,1.0,10,2,1,19,1.0,1,J.Conner,0.0,0,0
58,run,ARI,1.0,8,2,1,8,1.0,1,J.Conner,6.0,0,0
59,run,ARI,2.0,2,2,1,2,1.0,1,K.Murray,2.0,1,1
61,run,TEN,2.0,1,2,1,66,0.0,1,,16.0,1,0
70,run,ARI,1.0,10,3,1,84,0.0,1,C.Edmonds,4.0,0,0
76,run,ARI,1.0,10,3,1,46,0.0,1,C.Edmonds,3.0,0,0
78,run,ARI,1.0,10,3,1,33,0.0,1,J.Conner,7.0,0,0
82,run,TEN,2.0,6,3,1,71,0.0,1,D.Henry,1.0,0,0
87,run,TEN,1.0,10,3,1,90,0.0,1,D.Henry,19.0,1,0
88,run,TEN,1.0,10,3,1,71,0.0,1,D.Henry,4.0,0,0
89,run,TEN,2.0,6,3,1,67,0.0,1,D.Henry,8.0,1,0
90,run,TEN,1.0,15,3,1,64,0.0,1,D.Henry,8.0,0,0
91,run,TEN,2.0,7,3,1,56,0.0,1,D.Henry,-1.0,0,0
93,run,ARI,1.0,10,3,1,33,1.0,1,C.Edmonds,16.0,1,0
94,run,ARI,1.0,10,3,1,17,1.0,1,J.Conner,4.0,0,0
95,run,ARI,2.0,6,3,1,13,1.0,1,J.Conner,2.0,0,0
98,run,TEN,2.0,10,3,1,75,0.0,1,D.Henry,4.0,0,0
100,run,TEN,1.0,10,3,1,61,0.0,1,D.Henry,7.0,0,0
107,run,ARI,1.0,10,3,1,43,0.0,1,C.Edmonds,6.0,0,0
108,run,ARI,2.0,4,4,1,37,0.0,1,C.Edmonds,1.0,0,0
109,run,ARI,3.0,3,4,1,36,0.0,1,C.Edmonds,5.0,1,0
110,run,ARI,1.0,10,4,1,31,0.0,1,J.Conner,3.0,0,0
111,run,ARI,2.0,7,4,1,28,0.0,1,J.Conner,2.0,0,0
112,run,ARI,3.0,5,4,1,26,0.0,1,J.Conner,1.0,0,0
120,run,ARI,1.0,10,4,1,66,0.0,1,C.Edmonds,2.0,0,0
122,run,ARI,1.0,10,4,1,55,0.0,1,J.Conner,6.0,0,0
123,run,ARI,2.0,9,4,1,54,0.0,1,J.Conner,8.0,0,0
124,run,ARI,3.0,1,4,1,46,0.0,1,J.Conner,2.0,1,0
125,run,ARI,1.0,10,4,1,44,0.0,1,J.Conner,1.0,0,0
126,run,ARI,2.0,9,4,1,43,0.0,1,J.Conner,1.0,0,0
127,run,ARI,3.0,8,4,1,42,0.0,1,K.Murray,1.0,0,0
128,run,TEN,1.0,10,4,1,97,0.0,1,J.McNichols,8.0,0,0
129,run,TEN,2.0,2,4,1,89,0.0,1,J.McNichols,1.0,0,0
130,run,TEN,3.0,1,4,1,88,0.0,1,M.Sargent,2.0,1,0
133,run,LV,3.0,1,1,1,66,0.0,1,M.Mariota,31.0,1,0
134,run,LV,1.0,10,1,1,35,0.0,1,K.Drake,-1.0,0,0
135,run,LV,2.0,11,1,1,36,0.0,1,,2.0,0,0
137,run,LV,1.0,10,1,1,21,0.0,1,J.Jacobs,3.0,0,0
140,run,LV,3.0,17,1,1,28,0.0,1,D.Carr,0.0,0,0
141,run,BAL,1.0,10,1,1,92,0.0,1,T.Williams,3.0,0,0
142,run,BAL,2.0,7,1,1,89,0.0,1,,18.0,1,0
144,run,BAL,2.0,8,1,1,69,0.0,1,,2.0,0,0
147,run,BAL,2.0,15,1,1,64,0.0,1,T.Cannon,2.0,0,0
154,run,BAL,1.0,10,1,1,44,0.0,1,T.Williams,3.0,0,0
157,run,BAL,4.0,1,1,1,35,0.0,1,T.Williams,35.0,1,1
158,run,LV,1.0,10,1,1,85,0.0,1,J.Jacobs,13.0,1,0
159,run,LV,1.0,10,1,1,72,0.0,1,J.Jacobs,0.0,0,0
163,run,BAL,2.0,4,2,1,74,0.0,1,L.Murray,-3.0,0,0
165,run,LV,1.0,10,2,1,65,0.0,1,J.Jacobs,0.0,0,0
169,run,BAL,1.0,10,2,1,39,1.0,1,L.Jackson,0.0,0,0
172,run,BAL,2.0,10,2,1,14,1.0,1,T.Williams,4.0,0,0
178,run,LV,2.0,1,2,1,43,1.0,1,K.Drake,0.0,0,0
182,run,LV,1.0,2,2,1,2,1.0,1,J.Jacobs,2.0,1,1
183,run,BAL,1.0,10,2,1,75,0.0,1,T.Williams,1.0,0,0
185,run,BAL,1.0,10,2,1,61,0.0,1,T.Williams,16.0,1,0
186,run,BAL,1.0,10,2,1,45,0.0,1,L.Murray,3.0,0,0
188,run,BAL,3.0,3,2,1,38,0.0,1,T.Williams,2.0,0,0
189,run,BAL,4.0,1,2,1,36,0.0,1,L.Murray,0.0,0,0
200,run,BAL,1.0,10,3,1,60,0.0,1,L.Murray,4.0,0,0
203,run,LV,1.0,10,3,1,93,0.0,1,J.Jacobs,2.0,0,0
205,run,LV,3.0,15,3,1,98,0.0,1,K.Drake,2.0,0,0
207,run,BAL,2.0,10,3,1,38,0.0,1,,11.0,1,0
